,id,timestamp,hour,day,month,datetime,timezone,source,destination,cab_type,product_id,name,price,distance,surge_multiplier,latitude,longitude,temperature,apparentTemperature,short_summary,long_summary,precipIntensity,precipProbability,humidity,windSpeed,windGust,windGustTime,visibility,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,icon,dewPoint,pressure,windBearing,cloudCover,uvIndex,visibility.1,ozone,sunriseTime,sunsetTime,moonPhase,precipIntensityMax,uvIndexTime,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime
16,d4f8797e-4601-4584-aa1c-a8946c003480,1545077412.0,20.0,17.0,12.0,12/17/18 20:10,America/New_York,Theatre District,North End,Lyft,lyft,Lyft,9.0,1.73,1.0,42.3588,-71.0707,40.4,35.63, Mostly Cloudy , Light rain in the morning. ,0.0,0.0,0.72,6.99,8.23,1545022800.0,9.808,41.35,1545076800.0,24.0,1545134400.0,35.88,1545076800.0,11.99,1545134400.0, partly-cloudy-day ,31.96,999.8,286.0,0.77,0.0,9.808,350.3,1545048561.0,1545081263.0,0.33,0.0184,1545066000.0,34.25,1545044400.0,41.35,1545076800.0,28.4,1545044400.0,35.88,1545076800.0
17,24a5c560-29d2-408a-9eab-dab24ad0e878,1543360882.0,23.0,27.0,11.0,11/27/18 23:21,America/New_York,Beacon Hill,North End,Uber,6c84fd89-3f11-4782-9b50-97c468b19529,Black,19.5,2.19,1.0,42.3505,-71.1054,40.38,35.18, Partly Cloudy , Light rain in the morning. ,0.0,0.0,0.71,7.73,11.57,1543305600.0,10.0,46.74,1543320000.0,33.82,1543399200.0,43.93,1543320000.0,30.36,1543399200.0, partly-cloudy-night ,31.61,991.84,252.0,0.13,0.0,10.0,308.4,1543319478.0,1543353358.0,0.68,0.1438,1543338000.0,36.37,1543377600.0,46.74,1543320000.0,32.6,1543377600.0,43.93,1543320000.0
18,a8517a09-0806-40ae-bb9f-bd9de3ad82b3,1543243451.0,14.0,26.0,11.0,11/26/18 14:44,America/New_York,Fenway,Financial District,Lyft,lyft,Lyft,13.5,4.3,1.0,42.2148,-71.033,43.51,43.51, Possible Drizzle ," Rain until morning, starting again in the evening. ",0.0053,0.57,0.93,2.73,2.73,1543291200.0,6.121,47.3,1543251600.0,42.1,1543298400.0,43.92,1543251600.0,36.2,1543291200.0, rain ,41.5,1015.08,122.0,1.0,1.0,6.121,295.5,1543232969.0,1543266992.0,0.64,0.13,1543251600.0,40.49,1543233600.0,47.3,1543251600.0,36.2,1543291200.0,43.92,1543251600.0
19,48d682ae-4b79-49a8-8d8c-65c0fcd212f5,1545143706.0,14.0,18.0,12.0,12/18/18 14:35,America/New_York,North End,West End,Uber,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,8.0,1.11,1.0,42.3519,-71.0643,26.47,14.77, Mostly Cloudy , Mostly cloudy throughout the day. ,0.0,0.0,0.46,14.36,25.17,1545127200.0,10.0,32.91,1545159600.0,20.9,1545220800.0,22.87,1545159600.0,14.27,1545195600.0, partly-cloudy-day ,8.68,1009.85,315.0,0.55,1.0,10.0,375.9,1545134994.0,1545167683.0,0.37,0.0029,1545152400.0,23.05,1545192000.0,37.96,1545109200.0,11.83,1545134400.0,31.85,1545109200.0
20,7f1b0a03-d563-408c-af2c-5559aad2a4e9,1543806482.0,3.0,3.0,12.0,12/3/18 03:08,America/New_York,Beacon Hill,Boston University,Uber,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,9.5,2.27,1.0,42.2148,-71.033,48.12,48.12, Overcast , Rain throughout the day. ,0.002,0.1,0.95,2.56,2.56,1543755600.0,4.73,52.86,1543788000.0,46.6,1543824000.0,52.19,1543788000.0,47.25,1543824000.0, cloudy ,46.76,1002.35,294.0,1.0,0.0,4.73,287.8,1543751761.0,1543785256.0,0.86,0.1055,1543770000.0,36.35,1543726800.0,52.86,1543788000.0,35.33,1543744800.0,52.19,1543788000.0
21,0502724b-c620-4859-b660-a0641c3955e0,1543297522.0,5.0,27.0,11.0,11/27/18 05:45,America/New_York,Northeastern University,Financial District,Lyft,lyft_luxsuv,Lux Black XL,38.5,3.51,1.0,42.3647,-71.0542,43.57,37.78, Rain , Light rain in the morning. ,0.1447,1.0,0.91,10.75,17.46,1543338000.0,3.579,47.11,1543320000.0,33.85,1543399200.0,44.14,1543320000.0,30.03,1543399200.0, rain ,41.0,999.82,75.0,1.0,0.0,3.579,288.7,1543319468.0,1543353343.0,0.68,0.143,1543338000.0,36.34,1543377600.0,47.11,1543320000.0,32.26,1543377600.0,44.14,1543320000.0
22,06e3c941-c5b2-4ac0-aa93-73b471fb4fdc,1545012607.0,2.0,17.0,12.0,12/17/18 02:10,America/New_York,Beacon Hill,South Station,Lyft,lyft_plus,Lyft XL,10.5,1.52,1.0,42.3519,-71.0551,40.39,34.5, Light Rain , Rain throughout the day. ,0.092,1.0,0.91,9.15,14.64,1545015600.0,3.202,43.76,1544990400.0,34.14,1545044400.0,38.3,1544986800.0,28.12,1545044400.0, rain ,37.83,1009.75,49.0,1.0,0.0,3.202,324.3,1544962117.0,1544994842.0,0.3,0.1266,1544979600.0,39.29,1544954400.0,43.76,1544990400.0,33.73,1545019200.0,38.3,1544986800.0
23,4a07b61c-5236-46fb-83a2-ca0ecacd3e58,1544742008.0,23.0,13.0,12.0,12/13/18 23:00,America/New_York,North End,West End,Uber,6c84fd89-3f11-4782-9b50-97c468b19529,Black,15.0,1.22,1.0,42.3644,-71.0661,31.41,31.41, Overcast , Partly cloudy throughout the day. ,0.0,0.0,0.62,2.31,2.62,1544738400.0,10.0,33.81,1544731200.0,27.05,1544781600.0,32.82,1544734800.0,27.7,1544781600.0, cloudy ,20.07,1035.0,154.0,0.99,0.0,10.0,328.3,1544702794.0,1544735602.0,0.21,0.0001,1544716800.0,17.91,1544688000.0,33.81,1544731200.0,13.47,1544688000.0,32.82,1544734800.0
26,c3afe315-ca6a-4b6a-9659-226dbf983f26,1543282222.0,1.0,27.0,11.0,11/27/18 01:30,America/New_York,Haymarket Square,Back Bay,Lyft,lyft_plus,Lyft XL,13.5,2.4,1.0,42.2148,-71.033,43.61,37.38, Rain ," Rain until morning, starting again in the evening. ",0.1264,1.0,0.94,12.0,12.0,1543291200.0,5.235,47.3,1543251600.0,42.1,1543298400.0,43.92,1543251600.0,36.2,1543291200.0, rain ,41.98,1004.51,90.0,1.0,0.0,5.235,291.7,1543232969.0,1543266992.0,0.64,0.13,1543251600.0,40.49,1543233600.0,47.3,1543251600.0,36.2,1543291200.0,43.92,1543251600.0
27,4d0888b6-9a41-4e35-81f2-f768be2b6874,1543297702.0,5.0,27.0,11.0,11/27/18 05:48,America/New_York,North End,Theatre District,Lyft,lyft_luxsuv,Lux Black XL,27.5,1.52,1.0,42.3647,-71.0542,43.57,37.78, Rain , Light rain in the morning. ,0.1447,1.0,0.91,10.75,17.46,1543338000.0,3.579,47.11,1543320000.0,33.85,1543399200.0,44.14,1543320000.0,30.03,1543399200.0, rain ,41.0,999.82,75.0,1.0,0.0,3.579,288.7,1543319468.0,1543353343.0,0.68,0.143,1543338000.0,36.34,1543377600.0,47.11,1543320000.0,32.26,1543377600.0,44.14,1543320000.0
28,77f4137f-dbb2-4557-84df-a9353eded403,1544717712.0,16.0,13.0,12.0,12/13/18 16:15,America/New_York,South Station,Financial District,Lyft,lyft_lux,Lux Black,16.5,0.67,1.0,42.3588,-71.0707,30.46,30.46, Mostly Cloudy , Partly cloudy throughout the day. ,0.0,0.0,0.56,2.48,3.25,1544738400.0,9.908,33.62,1544731200.0,27.07,1544788800.0,32.68,1544734800.0,27.72,1544788800.0, partly-cloudy-day ,16.62,1033.94,16.0,0.75,1.0,9.908,326.0,1544702794.0,1544735604.0,0.21,0.0001,1544716800.0,18.31,1544688000.0,33.62,1544731200.0,13.97,1544688000.0,32.68,1544734800.0
29,ae152392-8634-444c-90a9-d974dc67a5f6,1543800482.0,1.0,3.0,12.0,12/3/18 01:28,America/New_York,Northeastern University,West End,Lyft,lyft,Lyft,10.5,2.83,1.0,42.3647,-71.0542,47.93,47.93, Overcast , Light rain until evening. ,0.0,0.0,0.95,2.7,3.62,1543755600.0,4.315,50.99,1543788000.0,45.04,1543816800.0,50.32,1543788000.0,45.69,1543816800.0, cloudy ,46.66,1002.81,299.0,1.0,0.0,4.315,288.1,1543751794.0,1543785233.0,0.86,0.0888,1543770000.0,36.6,1543726800.0,50.99,1543788000.0,35.85,1543748400.0,50.32,1543788000.0
30,2d4c7971-354b-45e1-9082-f9f709180666,1544786709.0,11.0,14.0,12.0,12/14/18 11:25,America/New_York,Haymarket Square,Beacon Hill,Uber,6c84fd89-3f11-4782-9b50-97c468b19529,Black,16.5,1.36,1.0,42.3559,-71.055,27.83,27.83, Partly Cloudy , Partly cloudy throughout the day. ,0.0,0.0,0.8,2.9,4.06,1544846400.0,9.666,46.63,1544814000.0,40.78,1544832000.0,43.84,1544817600.0,38.59,1544835600.0, partly-cloudy-night ,22.45,1034.02,194.0,0.29,0.0,9.666,293.1,1544789234.0,1544822012.0,0.24,0.0,1544806800.0,27.21,1544781600.0,46.63,1544814000.0,24.55,1544785200.0,43.84,1544817600.0
31,a05668ef-d24a-45f0-b999-0dfd3ba0ef43,1544890804.0,16.0,15.0,12.0,12/15/18 16:20,America/New_York,Haymarket Square,Theatre District,Uber,6c84fd89-3f11-4782-9b50-97c468b19529,Black,16.0,1.16,1.0,42.3647,-71.0542,51.84,51.84, Partly Cloudy , Mostly cloudy throughout the day. ,0.0,0.0,0.8,3.58,5.3,1544918400.0,9.961,54.4,1544896800.0,39.22,1544954400.0,53.73,1544896800.0,35.32,1544954400.0, partly-cloudy-day ,45.71,1021.39,262.0,0.48,1.0,9.961,299.5,1544875679.0,1544908424.0,0.27,0.0075,1544893200.0,39.78,1544929200.0,54.4,1544896800.0,36.64,1544929200.0,53.73,1544896800.0
32,9075b342-8481-4f6e-a57f-bf8c95b0e96b,1545003913.0,23.0,16.0,12.0,12/16/18 23:45,America/New_York,North End,North Station,Lyft,lyft_luxsuv,Lux Black XL,27.5,0.98,1.0,42.3647,-71.0542,41.29,36.01, Light Rain , Rain throughout the day. ,0.0567,0.94,0.86,8.3,8.3,1545015600.0,4.054,43.83,1544990400.0,34.25,1545044400.0,38.38,1544986800.0,28.3,1545044400.0, rain ,37.56,1012.72,57.0,1.0,0.0,4.054,325.3,1544962119.0,1544994839.0,0.3,0.1252,1544979600.0,39.22,1544954400.0,43.83,1544990400.0,33.98,1545019200.0,38.38,1544986800.0
33,975f7b9c-6956-44b5-a07d-99680e6a88ba,1543229590.0,10.0,26.0,11.0,11/26/18 10:53,America/New_York,North End,Financial District,Lyft,lyft_premier,Lux,13.5,1.07,1.0,42.3505,-71.1054,41.4,41.4, Foggy ," Rain until morning, starting again in the evening. ",0.0,0.0,0.92,1.81,1.81,1543287600.0,0.965,46.39,1543255200.0,42.15,1543298400.0,43.9,1543251600.0,37.23,1543298400.0, fog ,39.38,1015.41,2.0,1.0,0.0,0.965,298.3,1543233010.0,1543266986.0,0.64,0.1361,1543251600.0,40.61,1543233600.0,46.39,1543255200.0,37.55,1543291200.0,43.9,1543251600.0
34,00a12437-3b7a-4389-94df-41e0ef406fa1,1543876981.0,22.0,3.0,12.0,12/3/18 22:43,America/New_York,Fenway,West End,Lyft,lyft_lux,Lux Black,38.0,3.14,1.25,42.3519,-71.0551,49.11,46.18, Partly Cloudy , Foggy in the morning. ,0.0,0.0,0.51,6.87,10.16,1543856400.0,10.0,57.27,1543852800.0,33.67,1543921200.0,56.6,1543852800.0,28.0,1543914000.0, partly-cloudy-night ,31.81,1001.06,279.0,0.17,0.0,10.0,319.7,1543838253.0,1543871621.0,0.89,0.0005,1543852800.0,42.89,1543896000.0,57.27,1543852800.0,39.54,1543896000.0,56.6,1543852800.0
35,493f3139-6546-4d32-a5f8-ff1eec11de13,1545030007.0,7.0,17.0,12.0,12/17/18 07:00,America/New_York,Beacon Hill,Haymarket Square,Lyft,lyft_line,Shared,7.0,1.36,1.0,42.3519,-71.0643,38.41,31.98, Drizzle , Light rain in the morning. ,0.0089,0.85,0.91,9.33,11.58,1545022800.0,3.183,41.42,1545076800.0,23.89,1545138000.0,35.95,1545076800.0,11.83,1545134400.0, rain ,36.14,1005.18,23.0,1.0,0.0,3.183,331.1,1545048558.0,1545081262.0,0.33,0.0178,1545066000.0,34.07,1545044400.0,41.42,1545076800.0,28.11,1545044400.0,35.95,1545076800.0
36,b1094601-47dc-4bdc-a5ac-7006f8d83917,1543837679.0,11.0,3.0,12.0,12/3/18 11:47,America/New_York,North End,Beacon Hill,Lyft,lyft_plus,Lyft XL,13.5,1.92,1.0,42.3644,-71.0661,47.87,47.87, Overcast , Foggy in the morning. ,0.0,0.0,0.93,2.77,4.54,1543856400.0,2.069,57.08,1543852800.0,33.68,1543921200.0,56.41,1543852800.0,28.12,1543914000.0, cloudy ,46.01,1000.3,250.0,1.0,0.0,2.069,300.5,1543838258.0,1543871621.0,0.89,0.0004,1543852800.0,42.86,1543896000.0,57.08,1543852800.0,39.54,1543896000.0,56.41,1543852800.0
37,89682137-4104-40c1-8b51-75e5cc8ddf6d,1543429388.0,18.0,28.0,11.0,11/28/18 18:23,America/New_York,South Station,Beacon Hill,Uber,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,10.0,2.5,1.0,42.3647,-71.0542,40.92,35.13, Overcast , Mostly cloudy throughout the day. ,0.0,0.0,0.64,9.21,15.03,1543431600.0,10.0,42.61,1543438800.0,37.6,1543489200.0,36.57,1543438800.0,32.12,1543478400.0, cloudy ,29.57,991.21,296.0,1.0,1.0,10.0,353.1,1543405936.0,1543439716.0,0.72,0.0,1543420800.0,33.85,1543399200.0,42.61,1543438800.0,30.03,1543399200.0,36.57,1543438800.0
38,4ea0c3d8-9801-4af7-a421-10bf5a3a9d0d,1543866487.0,19.0,3.0,12.0,12/3/18 19:48,America/New_York,Haymarket Square,Back Bay,Uber,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,10.5,1.82,1.0,42.3398,-71.0892,53.34,53.34, Overcast , Foggy in the morning. ,0.0,0.0,0.5,7.32,8.99,1543856400.0,10.0,57.52,1543852800.0,33.58,1543921200.0,56.85,1543852800.0,28.06,1543914000.0, cloudy ,35.04,999.71,289.0,0.89,0.0,10.0,313.1,1543838259.0,1543871631.0,0.89,0.0004,1543852800.0,42.83,1543896000.0,57.52,1543852800.0,39.65,1543896000.0,56.85,1543852800.0
39,f385df09-11c1-4d24-99ee-3d85466792c9,1543888989.0,2.0,4.0,12.0,12/4/18 02:03,America/New_York,Financial District,Boston University,Uber,6c84fd89-3f11-4782-9b50-97c468b19529,Black,36.0,5.56,1.0,42.2148,-71.033,45.12,40.99, Partly Cloudy , Foggy in the morning. ,0.0,0.0,0.63,7.64,9.95,1543860000.0,9.945,57.87,1543852800.0,32.8,1543921200.0,57.2,1543852800.0,27.22,1543914000.0, partly-cloudy-night ,33.14,1002.57,271.0,0.48,0.0,9.945,329.7,1543838223.0,1543871641.0,0.89,0.0007,1543852800.0,42.96,1543896000.0,57.87,1543852800.0,39.41,1543896000.0,57.2,1543852800.0
40,7427ef26-17c7-44eb-a831-2c2f5a6cc70d,1545039909.0,9.0,17.0,12.0,12/17/18 09:45,America/New_York,North End,West End,Lyft,lyft_premier,Lux,13.5,1.3,1.0,42.3644,-71.0661,35.84,29.23, Drizzle , Light rain in the morning. ,0.0092,0.74,0.94,8.52,10.39,1545022800.0,3.606,41.39,1545076800.0,23.87,1545138000.0,35.93,1545076800.0,11.81,1545134400.0, rain ,34.25,1004.71,352.0,1.0,0.0,3.606,329.7,1545048561.0,1545081260.0,0.33,0.0185,1545066000.0,34.07,1545044400.0,41.39,1545076800.0,28.17,1545044400.0,35.93,1545076800.0
41,4546e6ca-620e-4c5d-a8b6-d6de80c54bf0,1543319304.0,11.0,27.0,11.0,11/27/18 11:48,America/New_York,North End,Theatre District,Uber,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,9.0,1.41,1.0,42.3647,-71.0542,46.23,43.49, Light Rain , Light rain in the morning. ,0.0488,1.0,0.92,5.47,5.47,1543338000.0,3.564,47.11,1543320000.0,33.85,1543399200.0,44.14,1543320000.0,30.03,1543399200.0, rain ,44.14,988.85,122.0,1.0,0.0,3.564,305.5,1543319468.0,1543353343.0,0.68,0.143,1543338000.0,36.34,1543377600.0,47.11,1543320000.0,32.26,1543377600.0,44.14,1543320000.0
42,6c2b94ec-adbc-41bd-a8c2-e9f94f813c0e,1545020111.0,4.0,17.0,12.0,12/17/18 04:15,America/New_York,Northeastern University,Financial District,Lyft,lyft_luxsuv,Lux Black XL,45.5,4.02,1.0,42.2148,-71.033,40.08,33.55, Light Rain , Rain throughout the day. ,0.0187,1.0,0.9,10.45,15.67,1545015600.0,2.585,43.68,1544968800.0,34.19,1545048000.0,37.95,1544968800.0,27.39,1545044400.0, rain ,37.36,1007.02,41.0,1.0,0.0,2.585,328.1,1544962084.0,1544994864.0,0.3,0.1276,1544979600.0,39.89,1545012000.0,43.68,1544968800.0,33.73,1545012000.0,38.07,1544958000.0
